Band,Wavelength,RSR
B8,680,0.057564
B8,681,0.034787
B8,682,0.022882
B8,683,0.015178
B8,684,0.010755
B8,685,0.007663
B8,686,0.005756
B8,687,0.004292
B8,688,0.00322
B8,689,0.002283
B8,690,0.001545
B8,691,0.000879
B8,692,0.000214
B9,1340,-3E-06
B9,1341,8.6E-05
B9,1342,0.000194
B9,1343,0.000321
B9,1344,0.000469
B9,1345,0.000647
B9,1346,0.000856
B9,1347,0.001119
B9,1348,0.001429
B9,1349,0.001828
B9,1350,0.002318
B9,1351,0.00303
B9,1352,0.004011
B9,1353,0.005398
B9,1354,0.007194
B9,1355,0.011124
B9,1356,0.016985
B9,1357,0.026321
B9,1358,0.042756
B9,1359,0.06922
B9,1360,0.115351
B9,1361,0.182833
B9,1362,0.316333
B9,1363,0.45703
B9,1364,0.596852
B9,1365,0.772118
B9,1366,0.862394
B9,1367,0.871575
B9,1368,0.930308
B9,1369,0.962664
B9,1370,0.931247
B9,1371,0.938676
B9,1372,0.983748
B9,1373,0.999626
B9,1374,0.986968
B9,1375,1
B9,1376,0.983239
B9,1377,0.990577
B9,1378,0.963584
B9,1379,0.964054
B9,1380,0.871343
B9,1381,0.872689
B9,1382,0.703198
B9,1383,0.606578
B9,1384,0.452434
B9,1385,0.29792
B9,1386,0.190978
B9,1387,0.113055
B9,1388,0.066174
B9,1389,0.041513
B9,1390,0.026084
B9,1391,0.016218
B9,1392,0.009774
B9,1393,0.006839
B9,1394,0.004358
B9,1395,0.00278
B9,1396,0.001809
B9,1397,0.001351
B9,1398,0.000887
B9,1399,0.000481
B9,1400,0.00022
B9,1401,0.000114
B9,1402,2.9E-05
B9,1403,-7E-05
B9,1404,-0.000178
B9,1405,-0.000182
B9,1406,-0.000238
B9,1407,-0.000272
B9,1408,-0.000296
B9,1409,-0.000308
